来源,机构,专业组,细项/项目,轮次,NCCL编码,NCCL名称,测定日期,上报截止日期,备注
014,卫健委,常规化学A,钾、钠、氯、钙、磷、血糖、尿素、尿酸、肌酐、总蛋白、白蛋白、总胆固醇、甘油三脂、总胆红素、丙氨酸氨基转移酶、天门冬氨酸氨基转移酶、碱性磷酸酶、淀粉酶、肌酸激酶、乳酸脱氢酶、γ-谷氨酸氨基转移酶、镁、直接胆红素、铁、总铁结合力、胆碱酯酶、脂肪酶,第2次,NCCL-C-01,常规化学A,2026-06-04,2026-06-18,
014,卫健委,常规化学A,钾、钠、氯、钙、磷、血糖、尿素、尿酸、肌酐、总蛋白、白蛋白、总胆固醇、甘油三脂、总胆红素、丙氨酸氨基转移酶、天门冬氨酸氨基转移酶、碱性磷酸酶、淀粉酶、肌酸激酶、乳酸脱氢酶、γ-谷氨酸氨基转移酶、镁、直接胆红素、铁、总铁结合力、胆碱酯酶、脂肪酶,第3次,NCCL-C-01,常规化学A,2026-08-28,2026-09-14,
014,卫健委,特殊蛋白,IgA、IgG、IgM、C3、C4、CRP、RF、ASO、前白蛋白,第1次,NCCL-C-06,特殊蛋白,2026-04-09,2026-04-23,
014,卫健委,特殊蛋白,IgA、IgG、IgM、C3、C4、CRP、RF、ASO、前白蛋白,第2次,NCCL-C-06,特殊蛋白,2026-07-24,2026-08-07,
014,卫健委,抗凝蛋白,蛋白C、蛋白S、抗凝血酶III,第1次,NCCL-H-14,抗凝蛋白检测,2026-06-05,2026-06-12,
014,卫健委,抗凝蛋白,蛋白C、蛋白S、抗凝血酶III,第2次,NCCL-H-14,抗凝蛋白检测,2026-09-04,2026-09-11,
014,卫健委,抗Xa,抗FXa活性,第1次,NCCL-H-20,抗凝血因子Xa 活 性检测（仅用于肝 素和/ 或低分子量 肝素的用药监测）,2026-09-03,2026-09-10,
014,卫健委,VWF,vWF,第1次,NCCL-H-19,血管性血友病因子 抗原检测,2026-09-03,2026-09-10,
014,卫健委,IL-6,IL-6,第1次,NCCL-C-41,细胞因子,2026-04-09,2026-04-23,
014,卫健委,IL-6,IL-6,第2次,NCCL-C-41,细胞因子,2026-07-24,2026-08-07,
014,卫健委,多组正确度,糖化血红蛋白 酶学 电解质,第1次,,,,,全国计划无对应排期
015,北京市,常规化学,钾、钠、氯、钙、磷、血糖、尿素、肌酐、尿酸、总蛋白、白蛋白、总胆固醇、甘油三酯、丙氨酸氨基转移酶、天门冬氨酸氨基转移酶、乳酸脱氢酶、肌酸激酶、碱性磷酸酶、γ-谷氨酰基转移酶、总胆红素、淀粉酶、直接胆红素、铁、镁、胆碱酯酶、脂肪酶,第1次,NCCL-C-01,常规化学A,2026-03-05,2026-03-19,
015,北京市,常规化学,钾、钠、氯、钙、磷、血糖、尿素、肌酐、尿酸、总蛋白、白蛋白、总胆固醇、甘油三酯、丙氨酸氨基转移酶、天门冬氨酸氨基转移酶、乳酸脱氢酶、肌酸激酶、碱性磷酸酶、γ-谷氨酰基转移酶、总胆红素、淀粉酶、直接胆红素、铁、镁、胆碱酯酶、脂肪酶,第2次,NCCL-C-01,常规化学A,2026-06-04,2026-06-18,
015,北京市,常规化学,钾、钠、氯、钙、磷、血糖、尿素、肌酐、尿酸、总蛋白、白蛋白、总胆固醇、甘油三酯、丙氨酸氨基转移酶、天门冬氨酸氨基转移酶、乳酸脱氢酶、肌酸激酶、碱性磷酸酶、γ-谷氨酰基转移酶、总胆红素、淀粉酶、直接胆红素、铁、镁、胆碱酯酶、脂肪酶,第3次,NCCL-C-01,常规化学A,2026-08-28,2026-09-14,
015,北京市,常规化学,钾、钠、氯、钙、磷、血糖、尿素、肌酐、尿酸、总蛋白、白蛋白、总胆固醇、甘油三酯、丙氨酸氨基转移酶、天门冬氨酸氨基转移酶、乳酸脱氢酶、肌酸激酶、碱性磷酸酶、γ-谷氨酰基转移酶、总胆红素、淀粉酶、直接胆红素、铁、镁、胆碱酯酶、脂肪酶,第1次,NCCL-C-33,常规化学B,2026-03-05,2026-03-12,
015,北京市,常规化学,钾、钠、氯、钙、磷、血糖、尿素、肌酐、尿酸、总蛋白、白蛋白、总胆固醇、甘油三酯、丙氨酸氨基转移酶、天门冬氨酸氨基转移酶、乳酸脱氢酶、肌酸激酶、碱性磷酸酶、γ-谷氨酰基转移酶、总胆红素、淀粉酶、直接胆红素、铁、镁、胆碱酯酶、脂肪酶,第2次,NCCL-C-33,常规化学B,2026-08-28,2026-09-11,
015,北京市,DD FDP,DD、FDP,第1次,NCCL-H-13,D- 二聚体检测,2026-06-05,2026-06-12,
015,北京市,DD FDP,DD、FDP,第2次,NCCL-H-13,D- 二聚体检测,2026-09-04,2026-09-11,
015,北京市,PCT,PCT,第1次,NCCL-C-32,血清降钙素原,2026-04-09,2026-04-23,
015,北京市,PCT,PCT,第2次,NCCL-C-32,血清降钙素原,2026-07-30,2026-08-13,
015,北京市,糖化白蛋白GA,GA,第1次,NCCL-C-44,糖化白蛋白,2026-03-05,2026-03-19,
015,北京市,糖化白蛋白GA,GA,第2次,NCCL-C-44,糖化白蛋白,2026-06-08,2026-06-22,
015,北京市,凝血,PT、INR、APTT、Fbg、TT,第1次,NCCL-H-02,凝血试验,2026-06-12,2026-06-22,
015,北京市,凝血,PT、INR、APTT、Fbg、TT,第2次,NCCL-H-02,凝血试验,2026-09-03,2026-09-10,
015,北京市,IL-6,IL-6,第1次,NCCL-C-41,细胞因子,2026-04-09,2026-04-23,
015,北京市,IL-6,IL-6,第2次,NCCL-C-41,细胞因子,2026-07-24,2026-08-07,
015,北京市,京津冀鲁盲样,京津冀鲁盲样,第1次,,,,,全国计划无对应排期
015,北京市,京津冀鲁盲样,京津冀鲁盲样,第2次,,,,,全国计划无对应排期
016,卫健委,感A,乙肝五项、HCVAb,第1次,NCCL-I-01,感A,2026-03-05,2026-03-19,
016,卫健委,感A,乙肝五项、HCVAb,第2次,NCCL-I-01,感A,2026-09-03,2026-09-17,
016,卫健委,感B,HEV-IgM,第1次,NCCL-I-02,感B,2026-03-05,2026-03-19,
016,卫健委,感B,HEV-IgM,第2次,NCCL-I-02,感B,2026-10-09,2026-10-16,
016,卫健委,感C,HIV、梅毒抗体（特异）、梅毒抗体（非特异）,第1次,NCCL-I-03,感C,2026-03-05,2026-03-19,
016,卫健委,感C,HIV、梅毒抗体（特异）、梅毒抗体（非特异）,第2次,NCCL-I-03,感C,2026-10-09,2026-10-16,
016,卫健委,唐筛,AFP、βHCG、uE3,第1次,NCCL-E-02,中孕期母血清产前 筛查,2026-03-05,2026-03-12,
016,卫健委,唐筛,AFP、βHCG、uE3,第2次,NCCL-E-02,中孕期母血清产前 筛查,2026-08-06,2026-08-13,
016,卫健委,唐筛,AFP、βHCG、uE3,第3次,NCCL-E-02,中孕期母血清产前 筛查,2026-10-09,2026-10-16,
016,卫健委,内分泌,甲功五项、Tg、B12、叶酸、孕酮、雌二醇、PTH、皮质醇、ACTH、醛固酮、胰岛素、C肽、VD,第1次,NCCL-C-07,内分泌,2026-03-05,2026-03-26,
016,卫健委,内分泌,甲功五项、Tg、B12、叶酸、孕酮、雌二醇、PTH、皮质醇、ACTH、醛固酮、胰岛素、C肽、VD,第2次,NCCL-C-07,内分泌,2026-07-28,2026-08-11,
016,卫健委,药物监测,地高辛,第1次,NCCL-C-09,全血治疗药物监测,2026-03-05,2026-03-26,
016,卫健委,药物监测,地高辛,第2次,NCCL-C-09,全血治疗药物监测,2026-10-09,2026-10-16,
016,卫健委,肝纤,层粘连蛋白(LN)、三型前胶原N末端肽(PⅢNP)、四型胶原(CIV)	、透明质酸(HA),第1次,NCCL-C-40,肝纤维化血清学 指标,2026-03-26,2026-04-13,
016,卫健委,肝纤,层粘连蛋白(LN)、三型前胶原N末端肽(PⅢNP)、四型胶原(CIV)	、透明质酸(HA),第2次,NCCL-C-40,肝纤维化血清学 指标,2026-07-24,2026-08-07,
016,卫健委,类固醇正确度,孕酮、雌二醇、皮质醇,第1次,,,,,全国计划无对应排期
016,卫健委,甲功正确度,甲功五项,第1次,NCCL-C-47,甲状腺功能检测,2026-04-16,2026-04-30,
016,卫健委,肾素和醛固酮,肾素、醛固酮,第1次,,,,,全国计划无对应排期
016,卫健委,AMH,AMH,第1次,NCCL-C-24,抗缪勒管激素,2026-05-14,2026-05-28,
016,卫健委,AMH,AMH,第2次,NCCL-C-24,抗缪勒管激素,2026-10-09,2026-10-16,
016,卫健委,优生优育,HSV-1 M、HSV-1 G、HSV-2 M、HSV-2 G、 TOX M、TOX G、 CMV M、CMV G、 RV M、RV G,第1次,,,,,全国计划无对应排期
016,卫健委,优生优育,HSV-1 M、HSV-1 G、HSV-2 M、HSV-2 G、 TOX M、TOX G、 CMV M、CMV G、 RV M、RV G,第2次,,,,,全国计划无对应排期
016,卫健委,感染快检,HIV、HBsAg、TP、HCV,第1次,NCCL-I-10,感染性疾病抗原抗 体快速检测,2026-06-03,2026-06-11,
016,卫健委,感染快检,HIV、HBsAg、TP、HCV,第2次,NCCL-I-10,感染性疾病抗原抗 体快速检测,2026-10-09,2026-10-16,
016,卫健委,肿标A,总βHCG、AFP、β2微球蛋白、铁蛋白、CEA、TPSA、FPSA,第1次,NCCL-C-08,肿瘤标志物A,2026-05-29,2026-06-12,
016,卫健委,肿标A,总βHCG、AFP、β2微球蛋白、铁蛋白、CEA、TPSA、FPSA,第2次,NCCL-C-08,肿瘤标志物A,2026-09-24,2026-10-09,
017,北京市,感染快检,HIV、HBsAg、TP、HCV（胶体金）,第1次,NCCL-I-10,感染性疾病抗原抗 体快速检测,2026-06-03,2026-06-11,
017,北京市,感染快检,HIV、HBsAg、TP、HCV（胶体金）,第2次,NCCL-I-10,感染性疾病抗原抗 体快速检测,2026-10-09,2026-10-16,
017,北京市,内分泌,TT3、TT4、FT3、FT4、TSH、B12、叶酸、孕酮、雌二醇、PTH、皮质醇、胰岛素、C肽、VD,第1次,NCCL-C-07,内分泌,2026-03-05,2026-03-26,
017,北京市,内分泌,TT3、TT4、FT3、FT4、TSH、B12、叶酸、孕酮、雌二醇、PTH、皮质醇、胰岛素、C肽、VD,第2次,NCCL-C-07,内分泌,2026-07-28,2026-08-11,
017,北京市,感B,HEV-IgM、HAV-IgM,第1次,NCCL-I-02,感B,2026-03-05,2026-03-19,
017,北京市,感B,HEV-IgM、HAV-IgM,第2次,NCCL-I-02,感B,2026-10-09,2026-10-16,
017,北京市,肝炎,乙肝五项、HCVAb,第1次,NCCL-I-01,感A,2026-03-05,2026-03-19,
017,北京市,肝炎,乙肝五项、HCVAb,第2次,NCCL-I-01,感A,2026-09-03,2026-09-17,
017,北京市,感C,HIV、梅毒特异性抗体,第1次,NCCL-I-03,感C,2026-03-05,2026-03-19,
017,北京市,感C,HIV、梅毒特异性抗体,第2次,NCCL-I-03,感C,2026-10-09,2026-10-16,
017,北京市,产筛,AFP、βHCG、uE3,第1次,NCCL-E-02,中孕期母血清产前 筛查,2026-03-05,2026-03-12,
017,北京市,产筛,AFP、βHCG、uE3,第2次,NCCL-E-02,中孕期母血清产前 筛查,2026-08-06,2026-08-13,
017,北京市,肿标A,总βHCG、AFP、β2微球蛋白、铁蛋白、CEA、TPSA、FPSA,第1次,NCCL-C-08,肿瘤标志物A,2026-05-29,2026-06-12,
017,北京市,肿标A,总βHCG、AFP、β2微球蛋白、铁蛋白、CEA、TPSA、FPSA,第2次,NCCL-C-08,肿瘤标志物A,2026-09-24,2026-10-09,
017,北京市,结核,结核感染T细胞检测,第1次,,,,,全国计划无对应排期
017,北京市,sTfR,sTfR,第1次,,,,,全国计划无对应排期
